KODA;SLOVENSKI NAZIV;ANGLEŠKI NAZIV;ANGLEŠKI NAZIV KRATEK;KRIŽEC / ETIOLOGIJA;ZVEZDICA / MANIFESTACIJA;VELJAVNOST;SKUPINA OBOLEVNOSTI;SPOL;SPOL TIP;STAROST MIN.;STAROST MAX.;STAROST TIP;REDKA DIAGNOZA;MORFOLOGIJA;NESPREJEMLJIVA GLAVNA DIAGNOZA;PRIJAVA NALEZLJIVE BOLEZNI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A07.9;Protozojska črevesna bolezen, neopredeljena;Protozoal intestinal disease, unspecified;Protozoal intestinal disease unsp;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A08;Virusne in druge opredeljene črevesne infekcije;Viral and other specified intestinal infections;Viral & other spec intestinal infections;0;0;0;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A08.0;Rotavirusni enteritis;Rotaviral enteritis;Rotaviral enteritis;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A08.1;Akutna gastroenteropatija, ki jo povzroča Norwalk virus;Acute gastroenteropathy due to Norwalk agent;Acute gastroenteropathy dt Norwalk agent;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A08.2;Adenovirusni enteritis;Adenoviral enteritis;Adenoviral enteritis;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A08.3;Drugi virusni enteritis;Other viral enteritis;Other viral enteritis;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A08.4;Črevesna virusna infekcija, neopredeljena;Viral intestinal infection, unspecified;Viral intestinal infection unspecified;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A08.5;Druge opredeljene črevesne infekcije;Other specified intestinal infections;Other specified intestinal infections;0;0;1;006;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A09;Drugi gastroenteritis ali kolitis infekcijske etiologije ali neopredeljenega vzroka;Other gastroenteritis and colitis of infectious and unspecified origin;Oth gastrenteritis colitis infect & unsp;0;0;0;005;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A09.0;Drugi gastroenteritis ali kolitis infekcijske etiologije;Other gastroenteritis and colitis of infectious origin;Oth gastroenteritis & colitis infect;0;0;1;005;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A09.9;Gastroenteritis ali kolitis, vzrok neopredeljen;Gastroenteritis and colitis of unspecified origin;Gastroenteritis & colitis unsp origin;0;0;1;005;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A15;Tuberkuloza dihal, potrjena bakteriološko in/ali histološko;Respiratory tuberculosis, bacteriologically and histologically confirmed;Resp tuberculosis conf bact & histo;0;0;0;007;;;;;;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A15.0;Tuberkuloza pljuč, potrjena z mikroskopskim pregledom sputuma ali tudi v kulturi;Tuberculosis of lung, confirmed by sputum microscopy with or without culture;TB lung conf sputm mico w or wo cult;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A15.1;Tuberkuloza pljuč, potrjena le v kulturi;Tuberculosis of lung, confirmed by culture only;TB lung confirmed by culture only;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A15.2;Tuberkuloza pljuč, potrjena le histološko;Tuberculosis of lung, confirmed histologically;TB lung confirmed histologically;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A15.3;Tuberkuloza pljuč, potrjena, način potrditve ni opredeljen;Tuberculosis of lung, confirmed by unspecified means;TB lung confirmed by unspecified means;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A15.4;Tuberkuloza intratorakalnih bezgavk, potrjena bakteriološko in/ali histološko;Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;TB intrathoracic nodes conf bact & histo;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A15.5;Tuberkuloza larinksa, traheje in bronhijev, potrjena bakteriološko in/ali histološko;Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;TB larynx trach bronc conf bact & histo;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A15.6;Tuberkulozni plevritis, potrjen bakteriološko in/ali histološko;Tuberculous pleurisy, confirmed bacteriologically and histologically;Tuberculous pleurisy conf bact & histo;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A15.7;Primarna tuberkuloza dihal, potrjena bakteriološko in/ali histološko;Primary respiratory tuberculosis, confirmed bacteriologically and histologically;Primary respiratory TB conf bact & histo;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A15.8;Druge vrste tuberkuloza dihal, potrjena bakteriološko in/ali histološko;Other respiratory tuberculosis, confirmed bacteriologically and histologically;Other respiratory TB conf bact & histo;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A15.9;Tuberkuloza dihal, neopredeljena, potrjena bakteriološko in/ali histološko;Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically;Respiratory TB unsp conf bact & histo;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A16;Tuberkuloza dihal, ki bakteriološko ali histološko ni potrjena;Respiratory tuberculosis, not confirmed bacteriologically or histologically;Respiratory TB not conf bact & histo;0;0;0;007;;;;;;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A16.0;Tuberkuloza pljuč, bakteriološko in histološko negativna;Tuberculosis of lung, bacteriologically and histologically negative;TB lung negative bact & histo;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A16.1;Tuberkuloza pljuč, bakteriološka ali histološka preiskava ni bila opravljena;Tuberculosis of lung, bacteriological and histological examination not done;TB lung no bact & histo exam done;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A16.2;Tuberkuloza pljuč, bakteriološka ali histološka potrditev ni omenjena;Tuberculosis of lung, without mention of bacteriological or histological confirmation;TB lung wo bact & histo confirmation;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A16.3;Tuberkuloza intratorakalnih bezgavk, bakteriološka ali histološka potrditev ni omenjena;Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation;TB intrathor nodes wo bact & histo conf;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A16.4;Tuberkuloza larinksa, traheje in bronhijev, bakteriološka ali histološka potrditev ni omenjena;Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation;TB lrnx trach bronc wo bact & histo conf;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A16.5;Tuberkulozni plevritis, bakteriološka ali histološka potrditev ni omenjena;Tuberculous pleurisy, without mention of bacteriological or histological confirmation;Tubrcul pleurisy wo bact & histo conf;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A16.7;Primarna tuberkuloza dihal, bakteriološka ali histološka potrditev ni omenjena;Primary respiratory tuberculosis without mention of bacteriological or histological confirmation;Primary resp TB wo bact & histo conf;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A16.8;Druge vrste tuberkuloza dihal, bakteriološka ali histološka potrditev ni omenjena;Other respiratory tuberculosis, without mention of bacteriological or histological confirmation;Oth respiratory TB wo bact & histo conf;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A16.9;Tuberkuloza dihal, neopredeljena, bakteriološka ali histološka potrditev ni omenjena;Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation;Respiratory TB unsp wo bact & histo conf;0;0;1;007;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A17;Tuberkuloza živčevja;Tuberculosis of nervous system;Tuberculosis of nervous system;0;0;0;008;;;;;;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A17.0;Tuberkulozni meningitis;Tuberculous meningitis;Tuberculous meningitis;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A17.1;Tuberkulom mening;Meningeal tuberculoma;Meningeal tuberculoma;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A17.8;Druge vrste tuberkuloza živčevja;Other tuberculosis of nervous system;Other tuberculosis of nervous system;1;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A17.9;Tuberkuloza živčevja, neopredeljena;Tuberculosis of nervous system, unspecified;TB of nervous system unsp;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A18;Tuberkuloza drugih organov;Tuberculosis of other organs;Tuberculosis of other organs;0;0;0;008;;;;;;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A18.0;Tuberkuloza kosti in sklepov;Tuberculosis of bones and joints;Tuberculosis of bones and joints;1;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A18.1;Tuberkuloza genitourinarnega sistema;Tuberculosis of genitourinary system;Tuberculosis of genitourinary system;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A18.2;Tuberkulozna periferna limfadenopatija;Tuberculous peripheral lymphadenopathy;Tuberculous peripheral lymphadenopathy;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A18.3;Tuberkuloza črevesa, peritoneja in mezenterijskih bezgavk;Tuberculosis of intestines, peritoneum and mesenteric glands;TB intestine peritoneum mesenteric gland;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A18.4;Tuberkuloza kože in podkožnega tkiva;Tuberculosis of skin and subcutaneous tissue;TB skin and subcutaneous tissue;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A18.5;Očesna tuberkuloza;Tuberculosis of eye;Tuberculosis of eye;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A18.6;Tuberkuloza ušes;Tuberculosis of ear;Tuberculosis of ear;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A18.7;Tuberkuloza suprarenalnih žlez;Tuberculosis of adrenal glands;Tuberculosis of adrenal glands;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A18.8;Tuberkuloza drugih opredeljenih organov;Tuberculosis of other specified organs;Tuberculosis of other specified organs;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A19;Miliarna tuberkuloza;Miliary tuberculosis;Miliary tuberculosis;0;0;0;008;;;;;;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A19.0;Akutna miliarna tuberkuloza posameznega opredeljenega organa;Acute miliary tuberculosis of a single specified site;Acute miliary TB single specified site;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A19.1;Akutna miliarna tuberkuloza več organov;Acute miliary tuberculosis of multiple sites;Acute miliary TB multiple sites;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A19.2;Akutna miliarna tuberkuloza, neopredeljena;Acute miliary tuberculosis, unspecified;Acute miliary tuberculosis unspecified;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A19.8;Druge vrste miliarna tuberkuloza;Other miliary tuberculosis;Other miliary tuberculosis;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A19.9;Miliarna tuberkuloza, neopredeljena;Miliary tuberculosis, unspecified;Miliary tuberculosis unspecified;0;0;1;008;;;;;;1;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A20;Kuga;Plague;Plague;0;0;0;009;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A20.0;Bubonska kuga;Bubonic plague;Bubonic plague;0;0;1;009;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A20.1;Celulokutana kuga;Cellulocutaneous plague;Cellulocutaneous plague;0;0;1;009;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A20.2;Pljučna kuga;Pneumonic plague;Pneumonic plague;0;0;1;009;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A20.3;Meningitis, ki ga povzroča kuga;Plague meningitis;Plague meningitis;0;0;1;009;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A20.7;Septična kuga;Septicaemic plague;Septicaemic plague;0;0;1;009;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A20.8;Druge oblike kuge;Other forms of plague;Other forms of plague;0;0;1;009;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A20.9;Kuga, neopredeljena;Plague, unspecified;Plague unspecified;0;0;1;009;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A21;Tularemija;Tularaemia;Tularaemia;0;0;0;018;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A21.0;Ulceroglandularna tularemija;Ulceroglandular tularaemia;Ulceroglandular tularaemia;0;0;1;018;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A21.1;Okuloglandularna tularemija;Oculoglandular tularaemia;Oculoglandular tularaemia;0;0;1;018;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A21.2;Pljučna tularemija;Pulmonary tularaemia;Pulmonary tularaemia;0;0;1;018;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A21.3;Gastrointestinalna tularemija;Gastrointestinal tularaemia;Gastrointestinal tularaemia;0;0;1;018;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A21.7;Generalizirana tularemija;Generalised tularaemia;Generalised tularaemia;0;0;1;018;;;;;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
