siKoda;normalizirana;SLOVENSKI NAZIV
A19.9;A199;Miliarna tuberkuloza, neopredeljena
A20;A20;Kuga
A20.0;A200;Bubonska kuga
A20.1;A201;Celulokutana kuga
A20.2;A202;Pljučna kuga
A20.3;A203;Meningitis, ki ga povzroča kuga
A20.7;A207;Septična kuga
A20.8;A208;Druge oblike kuge
A20.9;A209;Kuga, neopredeljena
A21;A21;Tularemija
A21.0;A210;Ulceroglandularna tularemija
A21.1;A211;Okuloglandularna tularemija
A21.2;A212;Pljučna tularemija
A21.3;A213;Gastrointestinalna tularemija
A21.7;A217;Generalizirana tularemija
A21.8;A218;Druge oblike tularemije
A21.9;A219;Tularemija, neopredeljena
A22;A22;Antraks
A22.0;A220;Kožni antraks
A22.1;A221;Pljučni antraks
A22.2;A222;Gastrointestinalni antraks
A22.7;A227;Antraksna sepsa
A22.8;A228;Druge oblike antraksa
A22.9;A229;Antraks, neopredeljen
A23;A23;Bruceloza
A23.0;A230;Bruceloza, ki jo povzroča Brucella melitensis
A23.1;A231;Bruceloza, ki jo povzroča Brucella abortus
A23.2;A232;Bruceloza, ki jo povzroča Brucella suis
A23.3;A233;Bruceloza, ki jo povzroča Brucella canis
A23.8;A238;Druge bruceloze
A23.9;A239;Bruceloza, neopredeljena
A24;A24;Nalezljiva smrkavost in smrkavosti podobna bolezen (melioidoza)
A24.0;A240;Smrkavost
A24.1;A241;Akutna in fulminantna melioidoza
A24.2;A242;Subakutna in kronična melioidoza
A24.3;A243;Druge melioidoze
A24.4;A244;Melioidoza, neopredeljena
A25;A25;Vročice zaradi ugriza podgane
A25.0;A250;Spiriloza
A25.1;A251;Streptobaciloza
A25.9;A259;Vročica zaradi ugriza podgane, neopredeljena
A26;A26;Svinjska rdečica (erizipeloid)
A26.0;A260;Kožni erizipeloid
A26.7;A267;Sepsa, ki jo povzroča Erysipelothrix
A26.8;A268;Druge oblike erizipeloida
A26.9;A269;Erizipeloid, neopredeljen
A27;A27;Leptospiroza
A27.0;A270;Ikterohemoragična leptospiroza
A27.8;A278;Druge oblike leptospiroze
A27.9;A279;Leptospiroza, neopredeljena
A28;A28;Druge bakterijske zoonoze, ki niso uvrščene drugje
A28.0;A280;Pastereloza
A28.1;A281;Bolezen zaradi mačje opraskanine
A28.2;A282;Zunajčrevesna jersinioza
A28.8;A288;Druge opredeljene bakterijske zoonoze, ki niso uvrščene drugje
A28.9;A289;Bakterijska zoonoza, neopredeljena
A30;A30;Gobavost (lepra)  [Hansenova bolezen]
A30.0;A300;Neopredeljena gobavost
A30.1;A301;Gobavi tuberkuloid
A30.2;A302;Mejna tuberkuloidna gobavost
A30.3;A303;Mejna gobavost
A30.4;A304;Mejna lepromatozna gobavost
A30.5;A305;Lepromatozna gobavost
A30.8;A308;Druge oblike gobavosti
A30.9;A309;Gobavost, neopredeljena
A31;A31;Infekcija, ki jo povzročajo druge vrste mikobakterij
A31.0;A310;Pljučna mikobakterijska infekcija
A31.1;A311;Kožna mikobakterijska infekcija
A31.8;A318;Druge mikobakterijske infekcije
A31.9;A319;Mikobakterijska infekcija, neopredeljena
A32;A32;Listerioza
A32.0;A320;Kožna listerioza
A32.1;A321;Listerijski meningitis in meningoencefalitis
A32.7;A327;Listerijska sepsa
A32.8;A328;Druge oblike listerioze
A32.9;A329;Listerioza, neopredeljena
A33;A33;Tetanus novorojenčkov
A34;A34;Obporodni tetanus
A35;A35;Druge vrste tetanus
A36;A36;Davica (difterija) 
A36.0;A360;Davica v žrelu
A36.1;A361;Davica v nosu in žrelu
A36.2;A362;Davica v grlu
A36.3;A363;Davica kože
A36.8;A368;Druge vrste davica
A36.9;A369;Davica, neopredeljena
A37;A37;Oslovski kašelj
A37.0;A370;Oslovski kašelj, ki ga povzroča Bordetella pertussis
A37.1;A371;Oslovski kašelj, ki ga povzroča Bordetella parapertussis
A37.8;A378;Oslovski kašelj, ki ga povzročajo druge bakterije iz vrste Bordetella
A37.9;A379;Oslovski kašelj, neopredeljen
A38;A38;Škrlatinka
A39;A39;Meningokokna infekcija
A39.0;A390;Meningokokni meningitis
A39.1;A391;Waterhouse-Friderichsenov sindrom (E35.1*)
A39.2;A392;  Akutna meningokokemija
A39.3;A393;Kronična meningokokemija
A39.4;A394;Meningokokemija, neopredeljena
A39.5;A395;Meningokokna bolezen srca
A39.8;A398;Druge meningokokne infekcije
A39.9;A399;Meningokokna infekcija, neopredeljena
A40;A40;Streptokokna sepsa
A40.0;A400;Sepsa, ki jo povzroča streptokok skupine A
A40.1;A401;Sepsa, ki jo povzroča streptokok skupine B
A40.2;A402;Sepsa, ki jo povzroča streptokok skupine D
A40.3;A403;Sepsa, ki jo povzroča Streptococcus pneumoniae
A40.8;A408;Druge vrste streptokokna sepsa
A40.9;A409;Streptokokna sepsa, neopredeljena
A41;A41;Druge sepse
A41.0;A410;Sepsa, ki jo povzroča Staphylococcus aureus
A41.1;A411;Sepsa zaradi kakega drugega opredeljenega stafilokoka
A41.2;A412;Sepsa, ki jo povzroča neopredeljeni stafilokok
A41.3;A413;Sepsa, ki jo povzroča Haemophylus influenzae
A41.4;A414;Sepsa, ki jo povzročajo anaerobi
A41.5;A415;Sepsa zaradi drugih ali neopredeljenih gramnegativnih mikroorganizmov
A41.50;A4150;Sepsa, ki jo povzročajo neopredeljeni gramnegativni mikroorganizmi
A41.51;A4151;Sepsa, ki jo povzroča E. coli
A41.52;A4152;Sepsa, ki jo povzroča bakterija Pseudomonas
A41.58;A4158;Sepsa, ki jo povzročajo drugi gramnegativni mikroorganizmi
A41.8;A418;Druge vrste opredeljena sepsa
A41.9;A419;Sepsa, neopredeljena
A42;A42;Aktinomikoza
A42.0;A420;Pljučna aktinomikoza
A42.1;A421;Trebušna aktinomikoza
A42.2;A422;Aktinomikoza vratu in obraza
A42.7;A427;Septična aktinomikoza
A42.8;A428;Druge oblike aktinomikoze
A42.9;A429;Aktinomikoza, neopredeljena
A43;A43;Nokardioza
A43.0;A430;Pljučna nokardioza
A43.1;A431;Kožna nokardioza
A43.8;A438;Druge oblike nokardioze
A43.9;A439;Nokardioza, neopredeljena
A44;A44;Bartoneloza
A44.0;A440;Sistemska bartoneloza
A44.1;A441;Kožna in kožnosluznična bartoneloza
A44.8;A448;Druge oblike bartoneloze
A44.9;A449;Bartoneloza, neopredeljena
A46;A46;Erizipel (šen)
A48;A48;Druge bakterijske bolezni, ki niso uvrščene drugje
A48.0;A480;Plinska gangrena
A48.1;A481;Legioneloza (legionarska bolezen)
A48.2;A482;Legioneloza (legionarska bolezen) brez pljučnice [pontiaška vročica]
A48.3;A483;Sindrom toksičnega šoka
A48.4;A484;Brazilska pupurna vročica
A48.8;A488;Druge opredeljene bakterijske bolezni
A49;A49;Bakterijske infekcije na neopredeljenih mestih
A49.0;A490;Stafilokokna infekcija, neopredeljena
A49.1;A491;Streptokokna infekcija, neopredeljena
A49.2;A492;Infekcija, ki jo povzroča Haemophilus influenzae, neopredeljena
A49.3;A493;Infekcija zaradi mikoplazme, neopredeljena
A49.8;A498;Druge bakterijske infekcije na neopredeljenih mestih
A49.9;A499;Bakterijska infekcija, neopredeljena
A50;A50;Prirojeni sifilis
A50.0;A500;Zgodnji prirojeni sifilis, s simptomi
A50.1;A501;Zgodnji prirojeni sifilis, latenten
A50.2;A502;Zgodnji prirojeni sifilis, neopredeljen
A50.3;A503;Okvara očesa pri poznem prirojenem sifilisu
A50.4;A504;Pozni prirojeni nevrosifilis [juvenilni nevrosifilis]
A50.5;A505;Druge vrste pozni prirojeni sifilis, s simptomi
A50.6;A506;Pozni prirojeni sifilis, latenten
A50.7;A507;Pozni prirojeni sifilis, neopredeljen
A50.9;A509;Prirojeni sifilis, neopredeljen
A51;A51;Zgodnji sifilis
A51.0;A510;Primarno genitalni sifilis
A51.1;A511;Primarno analni sifilis
A51.2;A512;Primarno ekstragenitalni sifilis
A51.3;A513;Sekundarni sifilis kože in sluznic
A51.4;A514;Druge vrste sekundarni sifilis
A51.5;A515;Zgodnji sifilis, latenten
A51.9;A519;Zgodnji sifilis, neopredeljen
A52;A52;Pozni sifilis
A52.0;A520;Kardiovaskularni sifilis
A52.1;A521;Nevrosifilis s simptomi
A52.2;A522;Nevrosifilis brez simptomov
A52.3;A523;Nevrosifilis, neopredeljen
A52.7;A527;Druge vrste pozni sifilis, s simptomi
A52.8;A528;Pozni sifilis, latenten
A52.9;A529;Pozni sifilis, neopredeljen
A53;A53;Druge vrste neopredeljeni sifilis
A53.0;A530;Latentni sifilis, ki ni opredeljen kot zgodnji ali pozni
A53.9;A539;Sifilis, neopredeljen
A54;A54;Gonokokna infekcija
A54.0;A540;Gonokokna infekcija spodnjega genitourinarnega trakta brez abscesa periuretralnih ali akcesornih žlez
A54.1;A541;Gonokokna infekcija spodnjega genitourinarnega trakta z abscesom periuretralnih ali akcesornih žlez
A54.2;A542;Gonokokni pelviperitonitis in druge gonokokne genitourinarne infekcije
A54.3;A543;Gonokokna infekcija očesa
A54.4;A544;Gonokokna infekcija mišičnoskeletnega sistema
A54.5;A545;Gonokokni faringitis
A54.6;A546;Gonokokna infekcija anusa in rektuma 
A54.8;A548;Druge gonokokne infekcije
A54.9;A549;Gonokokna infekcija, neopredeljena
A55;A55;Klamidijski limfogranulom (venerični)
A56;A56;Druge klamidijske bolezni, pretežno spolno prenesene
A56.0;A560;Klamidijska infekcija spodnjega genitourinarnega trakta
A56.1;A561;Klamidijska infekcija pelviperitoneja in drugih genitourinarnih organov
A56.2;A562;Klamidijska infekcija genitourinarnega trakta, neopredeljena
A56.3;A563;Klamidijska infekcija anusa in rektuma
A56.4;A564;Klamidijska infekcija farinksa
A56.8;A568;Spolno prenesena klamidijska infekcija na drugih mestih
A57;A57;Mehki čankar
A58;A58;Granuloma inguinale
A59;A59;Trihomonioza
A59.0;A590;Urogenitalna trihomonioza
A59.8;A598;Trihomonioza na drugih mestih
A59.9;A599;Trihomonioza, neopredeljena
A60;A60;Anogenitalna herpesvirusna infekcija [herpes simplex]
A60.0;A600;Herpesvirusna infekcija spolovil in urogenitalnega trakta
A60.1;A601;Herpesvirusna infekcija perianalne kože in rektuma
A60.9;A609;Anogenitalna herpesvirusna infekcija, neopredeljena
A63;A63;Druge, pretežno spolno prenesene bolezni, ki niso uvrščene drugje
A63.0;A630;Anogenitalne (venerične) bradavice
A63.8;A638;Druge opredeljene, pretežno spolno prenesene bolezni
A64;A64;Neopredeljene spolno prenesene bolezni
A65;A65;Nevenerični sifilis
A66;A66;Frambezija
A66.0;A660;Začetne lezije frambezije
A66.1;A661;Multipli papilomi in mokra frambezija
A66.2;A662;Druge zgodnje kožne frambezijske lezije
A66.3;A663;Frambezijska hiperkeratoza
A66.4;A664;Frambezijska guma in ulkusi
A66.5;A665;Gangosa
A66.6;A666;Frambezijske lezije kosti in sklepov
A66.7;A667;Drugi znaki frambezije
A66.8;A668;Latentna frambezija
A66.9;A669;Frambezija, neopredeljena
A67;A67;Pinta [karate]
A67.0;A670;Primarne lezije pinte
A67.1;A671;Intermediarne lezije pinte
A67.2;A672;Pozne lezije pinte
A67.3;A673;Mešane lezije pinte
A67.9;A679;Pinta, neopredeljena
A68;A68;Povratne mrzlice
A68.0;A680;Povratna mrzlica, ki jo prenašajo uši
A68.1;A681;Povratna mrzlica, ki jo prenašajo klopi
A68.9;A689;Povratna mrzlica, neopredeljena
A69;A69;Druge infekcije, ki jih povzročajo spirohete
A69.0;A690;Nekrotizirajoči ulcerativni stomatitis
A69.1;A691;Druge Vincentove infekcije
A69.2;A692;Lymska borelioza
A69.8;A698;Druge opredeljene infekcije, ki jih povzročajo spirohete
A69.9;A699;Infekcija, ki jih povzročajo spirohete, neopredeljena
A70;A70;Infekcija, ki jo povzroča Chlamydia psittaci
A71;A71;Trahom
A71.0;A710;Začetni stadij trahoma
A71.1;A711;Aktivni stadij trahoma
A71.9;A719;Trahom, neopredeljen
A74;A74;Druge bolezni, ki jih povzročajo klamidije
A74.0;A740;Klamidijski konjunktivitis
A74.8;A748;Druge klamidijske bolezni
A74.9;A749;Klamidijska infekcija, neopredeljena
A75;A75;Pegasti tifus [rikecijski tifus]
A75.0;A750;Epidemična pegavica, ki jo prenašajo uši in jo povzroča Rickettsia prowazekii
A75.1;A751;Povratna pegavica [Brillova bolezen]
A75.2;A752;Pegavica, ki jo povzroča Rickettsia typhi
A75.3;A753;Pegavica, ki jo povzroča Rickettsia tsutsugamushi
A75.9;A759;Pegasti tifus, neopredeljen
A77;A77;Pegavica, ki jo prenaša klop [rikecioze, ki jih prenaša klop]
A77.0;A770;Pegavica, ki jo povzroča Rickettsia rickettsii
A77.1;A771;Pegavica, ki jo pozroča Rickettsia conorii
A77.2;A772;Pegavica, ki jo povzroča Rickettsia siberica
A77.3;A773;Pegavica, ki jo povzroča Rickettsia australis
A77.8;A778;Druge pegavice, ki jih prenaša klop
A77.9;A779;Pegavica, ki jo prenaša klop, neopredeljena
A78;A78;Vročica Q
A79;A79;Druge rikecioze
A79.0;A790;Rovska vročica
A79.1;A791;Rikecijske koze, ki jih povzroča Rickettsia akari
A79.8;A798;Druge opredeljene rikecioze
A79.9;A799;Rikecioza, neopredeljena
A80;A80;Akutni poliomielitis
A80.0;A800;Akutni paralitični poliomielitis, povezan z vakcino
A80.1;A801;Akutni paralitični poliomielitis, divji virus, importiran
A80.2;A802;Akutni paralitični poliomielitis, divji virus, endemičen 
A80.3;A803;Akutni paralitični poliomielitis, druge vrste in neopredeljen
A80.4;A804;Akutni neparalitični poliomielitis
A80.9;A809;Akutni poliomielitis, neopredeljen
A81;A81;Atipične virusne infekcije centralnega živčnega sistema
A81.0;A810;Creutzfeldt-Jakobova bolezen
A81.1;A811;Subakutni sklerozirajoči panencefalitis
A81.2;A812;Progresivna multifokalna levkoencefalopatija
A81.8;A818;Druge atipične virusne infekcije centralnega živčnega sistema
A81.9;A819;Atipična virusna infekcija centralnega živčnega sistema, neopredeljena
A82;A82;Steklina
A82.0;A820;Silvatična steklina
A82.1;A821;Urbana steklina
A82.9;A829;Steklina, neopredeljena
A83;A83;Virusni encefalitis, ki ga prenaša komar
A83.0;A830;Japonski encefalitis
A83.1;A831;Zahodni konjski encefalitis
A83.2;A832;Vzhodni konjski encefalitis
A83.3;A833;St. Louisni encefalitis
A83.4;A834;Avstralski encefalitis
A83.5;A835;Kalifornijski encefalitis
A83.6;A836;Virusna bolezen Rocio
A83.8;A838;Druge vrste virusni encefalitis, ki ga prenaša komar
A83.9;A839;Virusni encefalitis, ki ga prenaša komar, neopredeljen
A84;A84;Virusni encefalitis, ki ga prenaša klop
A84.0;A840;Daljnovzhodni encefalitis, ki ga prenaša klop [ruski spomladansko-poletni encefalitis]
A84.1;A841;Centralnoevropski encefalitis, ki ga prenaša klop
A84.8;A848;Druge vrste virusni encefalitis, ki ga prenaša klop
A84.9;A849;Virusni encefalitis, ki ga prenaša klop, neopredeljen
A85;A85;Druge vrste virusni encefalitis, ki ni uvrščen drugje
A85.0;A850;Enterovirusni encefalitis
A85.1;A851;Adenovirusni encefalitis
A85.2;A852;Virusni encefalitis, ki ga prenašajo členonožci, neopredeljen
A85.8;A858;Druge vrste opredeljeni virusni encefalitis
A86;A86;Neopredeljeni virusni encefalitis
A87;A87;Virusni meningitis
A87.0;A870;Enterovirusni meningitis
A87.1;A871;Adenovirusni meningitis
A87.2;A872;Limfocitni horiomeningitis
A87.8;A878;Druge vrste virusni meningitis
A87.9;A879;Virusni meningitis, neopredeljen
A88;A88;Druge virusne infekcije centralnega živčnega sistema, ki niso uvrščene drugje
A88.0;A880;Enterovirusna vročica z izpuščajem [Bostonski eksantem]
A88.1;A881;Epidemična vrtoglavica
A88.8;A888;Druge opredeljene virusne infekcije centralnega živčnega sistema
A89;A89;Neopredeljena virusna infekcija centralnega živčnega sistema
A90;A90;Vročica denga [klasična denga]
A91;A91;Hemoragična vročica denga
A92;A92;Druge virusne vročice, ki jih prenaša komar
A92.0;A920;Virusna bolezen chikungunya
A92.1;A921;Vročica O'nyong-nyong
A92.2;A922;Venezuelska konjska vročica
A92.3;A923;Zahodnonilska vročica
A92.4;A924;Vročica doline Rift
A92.8;A928;Druge opredeljene virusne vročice, ki jih prenaša komar
A92.9;A929;Virusna vročica, ki jo prenaša komar, neopredeljena
A93;A93;Druge virusne vročice, ki jih prenašajo členonožci, in niso uvrščene drugje
A93.0;A930;Virusna bolezen Oropouche
A93.1;A931;Vročica peščene muhe
A93.2;A932;Koloradska vročica, ki jo prenaša klop
A93.8;A938;Druge opredeljene virusne vročice, ki jih prenašajo členonožci
A94;A94;Nespecifična virusna vročica, ki jo prenašajo členonožci
A95;A95;Rumena mrzlica
A95.0;A950;Silvatična rumena mrzlica
A95.1;A951;Urbana rumena mrzlica
A95.9;A959;Rumena mrzlica, neopredeljena
A96;A96;Arenavirusna hemoragična vročica
A96.0;A960;Junina hemoragična vročica
A96.1;A961;Hemoragična vročica Machupo
A96.2;A962;Vročica Lassa
A96.8;A968;Druge arenavirusne hemoragične vročice
A96.9;A969;Arenavirusna hemoragična vročica, neopredeljena
A98;A98;Druge virusne hemoragične vročice, ki niso uvrščene drugje
A98.0;A980;Krimsko-kongoška hemoragična vročica
A98.1;A981;Omska hemoragična vročica
A98.2;A982;Bolezen kyasanurskega gozda
A98.3;A983;Marburgvirusna bolezen
A98.4;A984;Ebolavirusna bolezen
A98.5;A985;Hemoragična vročica z renalnim sindromom
A98.8;A988;Druge opredeljene virusne hemoragične vročice
A99;A99;Neopredeljena hemoragična virusna vročica
B00;B00;Herpesvirusne [herpes simplex] infekcije
B00.0;B000;Eczema herpeticum
B00.1;B001;Herpesvirusni vezikularni dermatitis
B00.2;B002;Herpesvirusni gingivostomatitis in faringotonzilitis
B00.3;B003;Herpesvirusni meningitis
B00.4;B004;Herpesvirusni encefalitis
B00.5;B005;Herpesvirusno vnetje očesa
B00.7;B007;Diseminirana herpesvirusna bolezen
B00.8;B008;Druge oblike herpesvirusne infekcije
B00.9;B009;Herpesvirusna infekcija, neopredeljena
B01;B01;Varičela [norice]
B01.0;B010;Varičelni meningitis
B01.1;B011;Varičelni encefalitis
B01.2;B012;Varičelna pljučnica
B01.8;B018;Varičela z drugimi komplikacijami
B01.9;B019;Varičela brez komplikacij
B02;B02;Zoster [herpes zoster]
B02.0;B020;Encefalitis zaradi zostra
B02.1;B021;Meningitis zaradi zostra
B02.2;B022;Zoster s prizadetostjo drugih delov živčnega sistema
B02.3;B023;Vnetje očesa zaradi zostra
B02.7;B027;Diseminirani zoster
B02.8;B028;Zoster z drugimi zapleti
B02.9;B029;Zoster brez zapleta
B03;B03;Koze
B04;B04;Opičje koze
B05;B05;Ošpice
B05.0;B050;Ošpice, ki se komplicirajo z encefalitisom
B05.1;B051;Ošpice, ki se komplicirajo z meningitisom
B05.2;B052;Ošpice, ki se komplicirajo s pnevmonijo
B05.3;B053;Ošpice, ki se komplicirajo z vnetjem srednjega ušesa
B05.4;B054;Ošpice s črevesnimi zapleti
B05.8;B058;Ošpice z drugimi zapleti
B05.9;B059;Ošpice brez zapletov
B06;B06;Rdečke [rubella]
B06.0;B060;Rdečke z nevrološkimi komplikacijami
B06.8;B068;Rdečke z drugimi komplikacijami
B06.9;B069;Rdečke brez komplikacij
B07;B07;Virusne bradavice
B08;B08;Druge virusne infekcije, z značilnimi spremembami na koži in sluznicah, ki niso uvrščene drugje
B08.0;B080;Druge ortopoksvirusne infekcije
B08.1;B081;Molluscum contagiosum
B08.2;B082;Exanthema subitum [šesta bolezen]
B08.3;B083;Erythema infectiosum [peta bolezen]
B08.4;B084;Enterovirusni vezikularni stomatitis z eksantemom
B08.5;B085;Enterovirusni vezikularni faringitis
B08.8;B088;Druge opredeljene virusne infekcije, za katere so značilne spremembe na koži in sluznici
B09;B09;Neopredeljena virusna infekcija, za katero so značilne spremembe na koži in sluznici
B15;B15;Akutni hepatitis A
B15.0;B150;Hepatitis A s hepatično komo
B15.9;B159;Hepatitis A brez hepatične kome
B16;B16;Akutni hepatitis B
B16.0;B160;Akutni hepatitis B z agensom delta (istočasna infekcija) z jetrno komo
B16.1;B161;Akutni hepatitis B z agensom delta (istočasna infekcija) brez jetrne kome
B16.2;B162;Akutni hepatitis B brez agensa delta z jetrno komo
B16.9;B169;Akutni hepatitis B brez agensa delta in brez jetrne kome
B17;B17;Druge vrste akutni virusni hepatitis
B17.0;B170;Akutna (dodatna) infekcija delta pri nosilcu virusa hepatitisa B
B17.1;B171;Akutni hepatitis C
B17.2;B172;Akutni hepatitis E
B17.8;B178;Druge vrste opredeljeni akutni virusni hepatitis
B17.9;B179;Akutni virusni hepatitis, neopredeljen
B18;B18;Kronični virusni hepatitis
B18.0;B180;Kronični hepatitis B z agensom delta
B18.1;B181;Kronični virusni hepatitis B brez agensa delta
B18.2;B182;Kronični virusni hepatitis C
B18.8;B188;Druge vrste kronični hepatitis
B18.9;B189;Kronični virusni hepatitis, neopredeljen
B19;B19;Neopredeljeni virusni hepatitis
B19.0;B190;Neopredeljeni virusni hepatitis s komo
B19.9;B199;Neopredeljeni virusni hepatitis brez kome
B20;B20;Bolezen, ki jo povzroča virus človeške imunske pomanjkljivosti [HIV], ki se kaže z infekcijskimi in parazitskimi boleznimi
